OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98700571,Sample-Routine,Water,Surface Water,9/1/87,11:00:00,EDT,21,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98700572,Sample-Routine,Water,Surface Water,9/1/87,11:15:00,EDT,39,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800098,Sample-Routine,Water,Surface Water,11/18/87,11:30:00,EST,39,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800100,Sample-Routine,Water,Surface Water,11/18/87,11:00:00,EST,12,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800101,Sample-Routine,Water,Surface Water,11/18/87,10:30:00,EST,2,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800255,Sample-Routine,Water,Surface Water,3/28/88,12:00:00,EST,12,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800257,Sample-Routine,Water,Surface Water,3/28/88,12:30:00,EST,39,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800327,Sample-Routine,Water,Surface Water,5/10/88,10:15:00,EDT,2,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800328,Sample-Routine,Water,Surface Water,5/10/88,10:30:00,EDT,12,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800330,Sample-Routine,Water,Surface Water,5/10/88,11:00:00,EDT,39,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800331,Sample-Routine,Water,Surface Water,5/10/88,11:15:00,EDT,58,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900771,Sample-Routine,Water,Surface Water,8/16/89,9:30:00,EDT,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200143,Sample-Routine,Water,Surface Water,7/7/82,13:30:00,EDT,,,,"USGS-Atlanta Central Laboratory, GA",USGS-02089500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,100,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800421,Sample-Routine,Water,Surface Water,6/20/88,10:45:00,EDT,12,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800422,Sample-Routine,Water,Surface Water,6/20/88,11:00:00,EDT,21,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800424,Sample-Routine,Water,Surface Water,6/20/88,11:30:00,EDT,58,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99100612,Sample-Routine,Water,Surface Water,7/17/91,10:00:00,EDT,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800510,Sample-Routine,Water,Surface Water,8/17/88,10:00:00,EDT,2,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800513,Sample-Routine,Water,Surface Water,8/17/88,10:45:00,EDT,39,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98800514,Sample-Routine,Water,Surface Water,8/17/88,11:00:00,EDT,56,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207987950,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.99000438,Sample-Routine,Water,Surface Water,4/11/90,10:00:00,EDT,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900053,Sample-Routine,Water,Surface Water,11/16/88,12:45:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988550,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900057,Sample-Routine,Water,Surface Water,11/16/88,13:00:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900086,Sample-Routine,Water,Surface Water,12/6/88,12:15:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988550,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900142,Sample-Routine,Water,Surface Water,1/18/89,12:00:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988510,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900144,Sample-Routine,Water,Surface Water,1/18/89,12:30:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900183,Sample-Routine,Water,Surface Water,2/7/89,12:30:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988550,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-VA,USGS Virginia Water Science Center,nwisva.01.98900184,Sample-Routine,Water,Surface Water,2/7/89,12:45:00,EST,3,feet,,U.S. Geological Survey-Water Resources Discipline,USGS-0207988490,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400965,Not determined,Water,Groundwater,12/2/83,13:40:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352418080485101,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,,Fecal Coliform,10,cfu/100ml,Historical,,Actual,31625,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500591,Sample-Routine,Water,Groundwater,6/7/95,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351351080413702,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400886,Not determined,Water,Groundwater,12/5/83,12:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352404080485401,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701573,Sample-Routine,Water,Groundwater,6/24/97,14:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351351080413702,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900297,Sample-Routine,Water,Groundwater,2/2/89,13:20:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351020080542603,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99801216,Sample-Routine,Water,Groundwater,4/15/98,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350904080443303,,Saprolite,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701567,Sample-Routine,Water,Groundwater,6/23/97,10:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351339080413202,,Saprolite,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400851,Sample-Routine,Water,Groundwater,4/26/84,10:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352415080484901,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99801242,Sample-Routine,Water,Groundwater,7/7/98,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351339080413202,,Saprolite,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400885,Not determined,Water,Groundwater,7/11/84,10:20:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352415080484901,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000797,Sample-Routine,Water,Groundwater,12/20/89,10:35:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351339080413202,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400430,Sample-Routine,Water,Groundwater,12/16/93,11:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351336080421301,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000506,Sample-Routine,Water,Surface Water,2/20/80,14:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,10,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99000796,Sample-Routine,Water,Groundwater,12/20/89,15:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351258080412703,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201749,Sample-Routine,Water,Groundwater,5/4/92,15:10:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351331080421401,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701560,Sample-Routine,Water,Groundwater,6/23/97,11:50:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351337080415005,,Saprolite,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401373,Sample-Routine,Water,Groundwater,3/21/94,12:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351339080413202,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99102937,Sample-Routine,Water,Groundwater,9/4/91,9:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351330080415703,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99402608,Sample-Routine,Water,Groundwater,6/21/94,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351337080415005,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700069,Sample-Routine,Water,Surface Water,3/22/77,11:15:00,EST,,,,Other:Not valid for new data entry,USGS-02080500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,10,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400932,Not determined,Water,Groundwater,6/20/84,14:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351615080501301,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99102938,Sample-Routine,Water,Groundwater,9/4/91,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351337080415005,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99701550,Sample-Routine,Water,Groundwater,4/17/97,10:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351351080413702,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99500028,Sample-Routine,Water,Surface Water,10/5/94,10:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0212404970,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400888,Not determined,Water,Groundwater,4/26/84,10:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352404080485401,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99603207,Sample-Routine,Water,Groundwater,5/14/96,12:55:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351258080412703,,Saprolite,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200353,Not determined,Water,Groundwater,9/28/82,14:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351259080413001,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400884,Not determined,Water,Groundwater,2/1/84,14:45:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-352415080484901,,,Not applicable,Not applicable,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
